{   Distance	     Value	 Material }
{  4.95126e-01	 8.52940e+04	 GaN }
{  5.03495e-01	 7.93349e+04	 GaN }
{  5.11583e-01	 9.05406e+04	 GaN }
{  5.19398e-01	 1.03857e+05	 GaN }
{  5.26950e-01	 1.19808e+05	 GaN }
{  5.34248e-01	 1.73144e+05	 GaN }
{  5.41300e-01	 1.62576e+05	 GaN }
{  5.48115e-01	 1.91478e+05	 GaN }
{  5.54701e-01	 2.27340e+05	 GaN }
{  5.61065e-01	 2.72164e+05	 GaN }
{  5.67214e-01	 4.12240e+05	 GaN }
{  5.73157e-01	 3.99063e+05	 GaN }
{  5.78899e-01	 4.86849e+05	 GaN }
{  5.84448e-01	 5.93451e+05	 GaN }
{  5.89811e-01	 7.17242e+05	 GaN }
{  5.94993e-01	 9.46372e+05	 GaN }
{  6.00000e-01	 9.78875e+05	 GaN }
{  6.05021e-01	 1.08636e+06	 GaN }
{  6.10403e-01	 1.15384e+06	 GaN }
{  6.16170e-01	 1.20289e+06	 GaN }
{  6.22352e-01	 1.20591e+06	 GaN }
{  6.28977e-01	 1.17997e+06	 GaN }
{  6.36078e-01	 1.13404e+06	 GaN }
{  6.43689e-01	 9.91365e+05	 GaN }
{  6.51846e-01	 1.00974e+06	 GaN }
{  6.60588e-01	 9.39949e+05	 GaN }
{  6.69958e-01	 8.68263e+05	 GaN }
{  6.80000e-01	 7.96036e+05	 GaN }
{  6.90024e-01	 7.26828e+05	 GaN }
{  7.00300e-01	 6.62368e+05	 GaN }
{  7.10833e-01	 6.02044e+05	 GaN }
{  7.21631e-01	 4.94497e+05	 GaN }
{  7.32699e-01	 4.48240e+05	 GaN }
{  7.44044e-01	 4.47654e+05	 GaN }
{  7.55674e-01	 4.05130e+05	 GaN }
{  7.67595e-01	 3.66858e+05	 GaN }
{  7.79815e-01	 3.32590e+05	 GaN }
{  7.92341e-01	 3.02038e+05	 GaN }
{  8.05181e-01	 2.74895e+05	 GaN }
{  8.18343e-01	 2.50857e+05	 GaN }
{  8.31835e-01	 2.12899e+05	 GaN }
{  8.45665e-01	 1.96513e+05	 GaN }
{  8.59842e-01	 1.94644e+05	 GaN }
{  8.74374e-01	 1.69950e+05	 GaN }
{  8.89270e-01	 1.68210e+05	 GaN }
{  9.04540e-01	 1.50824e+05	 GaN }
{  9.20192e-01	 1.43887e+05	 GaN }
{  9.36237e-01	 1.38710e+05	 GaN }
{  9.52684e-01	 1.37263e+05	 GaN }
{  9.69543e-01	 1.34004e+05	 GaN }
{  9.86824e-01	 1.32736e+05	 GaN }
{  1.00454e+00	 1.33679e+05	 GaN }
{  1.02270e+00	 1.37118e+05	 GaN }
{  1.04131e+00	 1.43346e+05	 GaN }
{  1.06039e+00	 1.52518e+05	 GaN }
