{   Distance	     Value	 Material }
{  1.91017e+00	 4.14928e-01	 GaN }
{  1.94439e+00	 2.83186e-01	 GaN }
{  1.97902e+00	 2.85865e-01	 GaN }
{  2.01406e+00	 1.64922e-01	 GaN }
{  2.04953e+00	 1.66499e-01	 GaN }
{  2.08541e+00	 1.08961e-01	 GaN }
{  2.12173e+00	 5.20074e-02	 GaN }
{  2.15848e+00	 5.04589e-03	 GaN }
{  2.19567e+00	 1.21724e-01	 GaN }
{  2.23331e+00	 1.22533e-01	 GaN }
{  2.27139e+00	 1.84780e-01	 GaN }
{  2.30994e+00	 2.50872e-01	 GaN }
{  2.34894e+00	 3.22342e-01	 GaN }
{  2.38841e+00	 4.01304e-01	 GaN }
{  2.42835e+00	 6.02752e-01	 GaN }
{  2.46878e+00	 5.96160e-01	 GaN }
{  2.50968e+00	 7.25561e-01	 GaN }
{  2.55108e+00	 1.19988e+00	 GaN }
{  2.59297e+00	 1.62476e+00	 GaN }
{  2.63536e+00	 1.48500e+00	 GaN }
{  2.67826e+00	 3.59840e+00	 GaN }
{  2.72167e+00	 3.05607e+00	 GaN }
{  2.76560e+00	 1.03820e+01	 GaN }
{  2.81006e+00	 8.27159e+00	 GaN }
{  2.85505e+00	 1.48786e+01	 GaN }
{  2.90058e+00	 2.79656e+01	 GaN }
{  2.94666e+00	 5.43832e+01	 GaN }
{  2.99328e+00	 1.08816e+02	 GaN }
{  3.04047e+00	 2.24214e+02	 GaN }
{  3.08822e+00	 4.80785e+02	 GaN }
{  3.13654e+00	 3.86125e+03	 GaN }
{  3.18544e+00	 2.88775e+03	 GaN }
{  3.23492e+00	 1.03294e+04	 GaN }
{  3.28500e+00	 2.76246e+04	 GaN }
{  3.32667e+00	 1.75741e+04	 GaN }
{  3.36833e+00	 7.19012e+02	 GaN }
{  3.41000e+00	 6.35824e+02	 GaN }

{   Distance	     Value	 Material }
{ -1.25000e+00	 6.21690e+03	 GaN }
{ -1.20083e+00	 6.35566e+03	 GaN }
{ -1.15273e+00	 9.05281e+03	 GaN }
{ -1.10569e+00	 1.69435e+04	 GaN }
{ -1.05969e+00	 3.12222e+04	 GaN }
{ -1.01470e+00	 1.01793e+04	 GaN }
{ -9.70692e-01	 9.11316e+03	 GaN }
