{   Distance	     Value	 Material }
{  2.81006e+00	 7.23466e+00	 GaN }
{  2.85505e+00	 1.37801e+01	 GaN }
{  2.90058e+00	 2.68384e+01	 GaN }
{  2.94666e+00	 5.32962e+01	 GaN }
{  2.99328e+00	 1.07915e+02	 GaN }
{  3.04047e+00	 2.23810e+02	 GaN }
{  3.08822e+00	 4.81558e+02	 GaN }
{  3.13654e+00	 3.86876e+03	 GaN }
{  3.18544e+00	 2.89549e+03	 GaN }
{  3.23492e+00	 1.03377e+04	 GaN }
{  3.28500e+00	 2.76190e+04	 GaN }
{  3.32667e+00	 1.75728e+04	 GaN }
{  3.36833e+00	 7.18850e+02	 GaN }
{  3.41000e+00	 6.34470e+02	 GaN }

{   Distance	     Value	 Material }
{ -1.25000e+00	 6.32434e+03	 GaN }
{ -1.20083e+00	 6.46070e+03	 GaN }
{ -1.15273e+00	 9.18415e+03	 GaN }
{ -1.10569e+00	 1.70225e+04	 GaN }
{ -1.05969e+00	 3.11459e+04	 GaN }
{ -1.01470e+00	 1.04266e+04	 GaN }
{ -9.70692e-01	 9.35605e+03	 GaN }
{ -9.27653e-01	 1.17795e+04	 GaN }
{ -8.85559e-01	 1.27525e+04	 GaN }
{ -8.44390e-01	 1.36551e+04	 GaN }
{ -8.04126e-01	 1.34712e+04	 GaN }
{ -7.64745e-01	 1.36277e+04	 GaN }
{ -7.26230e-01	 1.37360e+04	 GaN }
{ -6.88561e-01	 1.38198e+04	 GaN }
{ -6.51719e-01	 1.38915e+04	 GaN }
{ -6.15686e-01	 1.39581e+04	 GaN }
{ -5.80445e-01	 1.42221e+04	 GaN }
{ -5.45978e-01	 1.40924e+04	 GaN }
{ -5.12268e-01	 1.41669e+04	 GaN }
{ -4.79298e-01	 1.42512e+04	 GaN }
{ -4.47053e-01	 1.43508e+04	 GaN }
{ -4.15516e-01	 1.47504e+04	 GaN }
{ -3.84671e-01	 1.46354e+04	 GaN }
{ -3.54504e-01	 1.53008e+04	 GaN }
{ -3.25000e-01	 1.51924e+04	 GaN }
{ -2.95331e-01	 1.55777e+04	 GaN }
{ -2.68749e-01	 1.60388e+04	 GaN }
{ -2.44932e-01	 1.65939e+04	 GaN }
{ -2.23593e-01	 1.67812e+04	 GaN }
{ -2.04475e-01	 1.67569e+04	 GaN }
{ -1.87345e-01	 1.69819e+04	 GaN }
{ -1.71998e-01	 1.73315e+04	 GaN }
{ -1.58248e-01	 1.74810e+04	 GaN }
{ -1.45928e-01	 1.78579e+04	 GaN }
{ -1.34890e-01	 1.86837e+04	 GaN }
{ -1.25000e-01	 2.06848e+04	 GaN }
{ -1.15109e-01	 2.41500e+04	 GaN }
{ -1.05419e-01	 3.01388e+04	 GaN }
{ -9.59231e-02	 2.99737e+04	 GaN }
{ -8.66194e-02	 3.18749e+04	 GaN }
{ -7.75033e-02	 3.49222e+04	 GaN }
{ -6.85713e-02	 3.49307e+04	 GaN }
{ -5.98195e-02	 3.63739e+04	 GaN }
{ -5.12443e-02	 3.78512e+04	 GaN }
{ -4.28422e-02	 3.93977e+04	 GaN }
{ -3.46096e-02	 4.10395e+04	 GaN }
{ -2.65432e-02	 4.28000e+04	 GaN }
{ -1.86395e-02	 4.47054e+04	 GaN }
{ -1.08953e-02	 4.86838e+04	 GaN }
{ -3.30745e-03	 4.93064e+04	 GaN }
{  4.12730e-03	 5.53326e+04	 GaN }
{  1.14120e-02	 5.48183e+04	 GaN }
{  1.85497e-02	 6.05487e+04	 GaN }
{  2.55434e-02	 5.96878e+04	 GaN }
{  3.23959e-02	 6.29742e+04	 GaN }
{  3.91102e-02	 6.67679e+04	 GaN }
{  4.56890e-02	 7.11097e+04	 GaN }
{  5.21349e-02	 7.60824e+04	 GaN }
{  5.84509e-02	 8.18041e+04	 GaN }
{  6.46393e-02	 8.84322e+04	 GaN }
{  7.07029e-02	 9.61697e+04	 GaN }
{  7.66441e-02	 1.05277e+05	 GaN }
{  8.24654e-02	 1.16081e+05	 GaN }
{  8.81692e-02	 1.28987e+05	 GaN }
{  9.37580e-02	 1.64172e+05	 GaN }
{  9.92339e-02	 1.63047e+05	 GaN }
{  1.04599e-01	 1.85155e+05	 GaN }
{  1.09857e-01	 2.10947e+05	 GaN }
{  1.15008e-01	 2.62925e+05	 GaN }
{  1.20055e-01	 2.70262e+05	 GaN }
{  1.25000e-01	 2.98870e+05	 GaN }
{  1.30032e-01	 3.22025e+05	 GaN }
{  1.35232e-01	 3.24084e+05	 GaN }
{  1.40607e-01	 3.38854e+05	 GaN }
{  1.46162e-01	 3.31020e+05	 GaN }
{  1.51904e-01	 3.15018e+05	 GaN }
{  1.57838e-01	 2.63821e+05	 GaN }
{  1.63972e-01	 2.69676e+05	 GaN }
{  1.70311e-01	 2.44740e+05	 GaN }
{  1.76863e-01	 1.96298e+05	 GaN }
{  1.83635e-01	 1.97175e+05	 GaN }
{  1.90634e-01	 1.58401e+05	 GaN }
{  1.97868e-01	 1.57535e+05	 GaN }
{  2.05345e-01	 1.41668e+05	 GaN }
{  2.13073e-01	 1.19803e+05	 GaN }
{  2.21060e-01	 1.18101e+05	 GaN }
{  2.29315e-01	 1.10012e+05	 GaN }
{  2.37847e-01	 1.01170e+05	 GaN }
{  2.46666e-01	 9.96937e+04	 GaN }
{  2.55780e-01	 9.68632e+04	 GaN }
{  2.65201e-01	 9.52607e+04	 GaN }
{  2.74937e-01	 9.47112e+04	 GaN }
{  2.85000e-01	 9.50845e+04	 GaN }
{  2.95000e-01	 9.62204e+04	 GaN }
{  3.05000e-01	 9.81151e+04	 GaN }
{  3.15000e-01	 1.00695e+05	 GaN }
{  3.25000e-01	 1.03935e+05	 GaN }
{  3.35000e-01	 1.07845e+05	 GaN }
{  3.45000e-01	 1.12463e+05	 GaN }
{  3.55000e-01	 1.17851e+05	 GaN }
{  3.65000e-01	 1.24098e+05	 GaN }
{  3.75000e-01	 1.31324e+05	 GaN }
{  3.85000e-01	 1.39673e+05	 GaN }
{  3.95000e-01	 1.49327e+05	 GaN }
{  4.05000e-01	 1.60494e+05	 GaN }
{  4.15000e-01	 1.73409e+05	 GaN }
{  4.25000e-01	 1.88312e+05	 GaN }
